targetTime,publishTime,forecastGeneration
2023-12-30T21:00:00Z,2023-12-30T02:30:00Z,15816.0
2023-12-30T21:00:00Z,2023-12-30T04:30:00Z,15817.0
2023-12-30T21:00:00Z,2023-12-30T07:30:00Z,15286.0
2023-12-30T21:00:00Z,2023-12-30T09:30:00Z,15286.0
2023-12-30T21:00:00Z,2023-12-30T11:30:00Z,15287.0
2023-12-30T21:00:00Z,2023-12-30T15:30:00Z,15273.0
2023-12-30T21:00:00Z,2023-12-30T18:30:00Z,15297.0
2023-12-30T21:00:00Z,2023-12-30T22:30:00Z,15300.0
2023-12-30T22:00:00Z,2023-12-30T02:30:00Z,15559.0
2023-12-30T22:00:00Z,2023-12-30T04:30:00Z,15560.0
2023-12-30T22:00:00Z,2023-12-30T07:30:00Z,14843.0
2023-12-30T22:00:00Z,2023-12-30T09:30:00Z,14843.0
2023-12-30T22:00:00Z,2023-12-30T11:30:00Z,14844.0
2023-12-30T22:00:00Z,2023-12-30T15:30:00Z,14772.0
2023-12-30T22:00:00Z,2023-12-30T18:30:00Z,14800.0
2023-12-30T22:00:00Z,2023-12-30T22:30:00Z,14798.0
2023-12-30T23:00:00Z,2023-12-30T02:30:00Z,15135.0
2023-12-30T23:00:00Z,2023-12-30T04:30:00Z,15136.0
2023-12-30T23:00:00Z,2023-12-30T07:30:00Z,14506.0
2023-12-30T23:00:00Z,2023-12-30T09:30:00Z,14506.0
2023-12-30T23:00:00Z,2023-12-30T11:30:00Z,14507.0
2023-12-30T23:00:00Z,2023-12-30T15:30:00Z,14447.0
2023-12-30T23:00:00Z,2023-12-30T18:30:00Z,14443.0
2023-12-30T23:00:00Z,2023-12-30T22:30:00Z,14441.0
2023-12-31T00:00:00Z,2023-12-30T02:30:00Z,14694.0
2023-12-31T00:00:00Z,2023-12-30T04:30:00Z,14698.0
2023-12-31T00:00:00Z,2023-12-30T07:30:00Z,14047.0
2023-12-31T00:00:00Z,2023-12-30T09:30:00Z,14047.0
2023-12-31T00:00:00Z,2023-12-30T11:30:00Z,14053.0
2023-12-31T00:00:00Z,2023-12-30T15:30:00Z,14085.0
2023-12-31T00:00:00Z,2023-12-30T18:30:00Z,14094.0
2023-12-31T00:00:00Z,2023-12-30T22:30:00Z,14093.0
2023-12-31T01:00:00Z,2023-12-30T02:30:00Z,14339.0
2023-12-31T01:00:00Z,2023-12-30T04:30:00Z,14339.0
2023-12-31T01:00:00Z,2023-12-30T07:30:00Z,13700.0
2023-12-31T01:00:00Z,2023-12-30T09:30:00Z,13704.0
2023-12-31T01:00:00Z,2023-12-30T11:30:00Z,13708.0
2023-12-31T01:00:00Z,2023-12-30T15:30:00Z,13700.0
2023-12-31T01:00:00Z,2023-12-30T18:30:00Z,13676.0
2023-12-31T01:00:00Z,2023-12-30T22:30:00Z,13667.0
2023-12-31T02:00:00Z,2023-12-30T02:30:00Z,13985.0
2023-12-31T02:00:00Z,2023-12-30T04:30:00Z,13987.0
2023-12-31T02:00:00Z,2023-12-30T07:30:00Z,13462.0
2023-12-31T02:00:00Z,2023-12-30T09:30:00Z,13463.0
2023-12-31T02:00:00Z,2023-12-30T11:30:00Z,13470.0
2023-12-31T02:00:00Z,2023-12-30T15:30:00Z,13540.0
2023-12-31T02:00:00Z,2023-12-30T18:30:00Z,13559.0
2023-12-31T02:00:00Z,2023-12-30T22:30:00Z,13550.0
2023-12-31T03:00:00Z,2023-12-30T02:30:00Z,13692.0
2023-12-31T03:00:00Z,2023-12-30T04:30:00Z,13704.0
2023-12-31T03:00:00Z,2023-12-30T07:30:00Z,13130.0
2023-12-31T03:00:00Z,2023-12-30T09:30:00Z,13129.0
2023-12-31T03:00:00Z,2023-12-30T11:30:00Z,13132.0
2023-12-31T03:00:00Z,2023-12-30T15:30:00Z,13182.0
2023-12-31T03:00:00Z,2023-12-30T18:30:00Z,13288.0
2023-12-31T03:00:00Z,2023-12-30T22:30:00Z,13288.0
2023-12-31T04:00:00Z,2023-12-30T02:30:00Z,13114.0
2023-12-31T04:00:00Z,2023-12-30T04:30:00Z,13111.0
2023-12-31T04:00:00Z,2023-12-30T07:30:00Z,12610.0
2023-12-31T04:00:00Z,2023-12-30T09:30:00Z,12610.0
2023-12-31T04:00:00Z,2023-12-30T11:30:00Z,12613.0
2023-12-31T04:00:00Z,2023-12-30T15:30:00Z,12715.0
2023-12-31T04:00:00Z,2023-12-30T18:30:00Z,12783.0
2023-12-31T04:00:00Z,2023-12-30T22:30:00Z,12794.0
2023-12-31T05:00:00Z,2023-12-30T02:30:00Z,12756.0
2023-12-31T05:00:00Z,2023-12-30T04:30:00Z,12754.0
2023-12-31T05:00:00Z,2023-12-30T07:30:00Z,12207.0
2023-12-31T05:00:00Z,2023-12-30T09:30:00Z,12208.0
2023-12-31T05:00:00Z,2023-12-30T11:30:00Z,12204.0
2023-12-31T05:00:00Z,2023-12-30T15:30:00Z,12248.0
2023-12-31T05:00:00Z,2023-12-30T18:30:00Z,12355.0
2023-12-31T05:00:00Z,2023-12-30T22:30:00Z,12356.0
2023-12-31T06:00:00Z,2023-12-30T02:30:00Z,12538.0
2023-12-31T06:00:00Z,2023-12-30T04:30:00Z,12551.0
2023-12-31T06:00:00Z,2023-12-30T07:30:00Z,12017.0
2023-12-31T06:00:00Z,2023-12-30T09:30:00Z,12016.0
2023-12-31T06:00:00Z,2023-12-30T11:30:00Z,12002.0
2023-12-31T06:00:00Z,2023-12-30T15:30:00Z,12093.0
2023-12-31T06:00:00Z,2023-12-30T18:30:00Z,12141.0
2023-12-31T06:00:00Z,2023-12-30T22:30:00Z,12143.0
2023-12-31T07:00:00Z,2023-12-30T02:30:00Z,12157.0
2023-12-31T07:00:00Z,2023-12-30T04:30:00Z,12157.0
2023-12-31T07:00:00Z,2023-12-30T07:30:00Z,11848.0
2023-12-31T07:00:00Z,2023-12-30T09:30:00Z,11850.0
2023-12-31T07:00:00Z,2023-12-30T11:30:00Z,11848.0
2023-12-31T07:00:00Z,2023-12-30T15:30:00Z,11998.0
2023-12-31T07:00:00Z,2023-12-30T18:30:00Z,12020.0
2023-12-31T07:00:00Z,2023-12-30T22:30:00Z,12021.0
2023-12-31T08:00:00Z,2023-12-30T02:30:00Z,12133.0
2023-12-31T08:00:00Z,2023-12-30T04:30:00Z,12134.0
2023-12-31T08:00:00Z,2023-12-30T07:30:00Z,11829.0
2023-12-31T08:00:00Z,2023-12-30T09:30:00Z,11832.0
2023-12-31T08:00:00Z,2023-12-30T11:30:00Z,11839.0
2023-12-31T08:00:00Z,2023-12-30T15:30:00Z,12079.0
2023-12-31T08:00:00Z,2023-12-30T18:30:00Z,12106.0
2023-12-31T08:00:00Z,2023-12-30T22:30:00Z,12107.0
2023-12-31T09:00:00Z,2023-12-30T02:30:00Z,12141.0
2023-12-31T09:00:00Z,2023-12-30T04:30:00Z,12141.0
2023-12-31T09:00:00Z,2023-12-30T07:30:00Z,11926.0
2023-12-31T09:00:00Z,2023-12-30T09:30:00Z,11927.0
2023-12-31T09:00:00Z,2023-12-30T11:30:00Z,11932.0
2023-12-31T09:00:00Z,2023-12-30T15:30:00Z,12225.0
2023-12-31T09:00:00Z,2023-12-30T18:30:00Z,12191.0
2023-12-31T09:00:00Z,2023-12-30T22:30:00Z,12192.0
2023-12-31T10:00:00Z,2023-12-30T02:30:00Z,12021.0
